#Duplication rate	Coverage
1.0	4784576.0
2.0	217632.0
3.0	2028.0
4.0	672.0
5.0	325.0
6.0	198.0
7.0	142.0
8.0	81.0
9.0	67.0
10.0	56.0
11.0	33.0
12.0	36.0
13.0	18.0
14.0	20.0
15.0	15.0
16.0	16.0
17.0	10.0
18.0	7.0
19.0	10.0
20.0	7.0
21.0	3.0
22.0	7.0
23.0	1.0
24.0	2.0
25.0	1.0
26.0	2.0
27.0	6.0
28.0	0.0
29.0	3.0
30.0	0.0
31.0	2.0
32.0	4.0
33.0	0.0
34.0	0.0
35.0	1.0
36.0	1.0
37.0	0.0
38.0	1.0
39.0	2.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	1.0
